Wreck-It Ralph,FREEFORM,439625,427770,0.0269661643
Sanford and Son,TVONE,172859,173501,-0.0037140097
Friends,NICK,589085,587962,0.0019063463
The Breaks,BET,237956,202573,0.1486955572
Kenan & Kel,TEENNCK,76849,77121,-0.0035394085
Mommy's Little Boy,LIFE,512453,556993,-0.0869152878
The Breaks,BET,237956,197733,0.1690354519
The 40-Year-Old Virgin,MTV,233595,188828,0.1916436568
The Breaks,BET,170473,176512,-0.0354249647
The School of Rock,BRAVO,241414,239359,0.0085123481
Mommy's Little Boy,LIFE,512453,444337,0.1329214582
The Breaks,BET,170473,170744,-0.0015896946
Fresh Prince of Bel-Air,NICK,422243,437226,-0.0354843064
Kenan & Kel,TEENNCK,73258,69599,0.0499467635
The Jeffersons,TVONE,122469,120998,0.0120112028
The Jeffersons,TVONE,116227,117722,-0.0128627599
Summer House,BRAVO,112648,101377,0.1000550387
iCarly,TEENNCK,42362,42899,-0.0126764553
Snow White and the Seven Dwarfs,FREEFORM,122984,82998,0.3251317245
iCarly,TEENNCK,64210,62535,0.0260862794
Victorious,TEENNCK,75599,75327,0.0035979312
Snow White and the Seven Dwarfs,FREEFORM,122984,185859,-0.5112453653
Keeping Up with the Kardashians,E!,128412,119609,0.0685527832
Love Under New Management: The Miki Howard Story,TVONE,83032,75163,0.0947706908
Love Under New Management: The Miki Howard Story,TVONE,83032,87463,-0.0533649677
Keeping Up with the Kardashians,E!,182127,176161,0.0327573616
Love Under New Management: The Miki Howard Story,TVONE,83032,102315,-0.2322357645
Unsung,TVONE,119951,115977,0.0331301948
Keeping Up with the Kardashians,E!,214207,223585,-0.0437800819
Unsung,TVONE,143669,136529,0.0496975687
Mama's Family,LOGO,54892,55382,-0.0089266195
Unsung,TVONE,143669,145544,-0.0130508321
Mama's Family,LOGO,58474,57759,0.0122276567
Romeo Must Die,VH1,215342,178197,0.1724930576
Keeping Up with the Kardashians,E!,249675,242446,0.0289536397
Empire,TVONE,139124,134407,0.0339050056
Ice Age,FREEFORM,370338,373650,-0.0089431816
Empire,TVONE,149817,142569,0.0483790224
Keeping Up with the Kardashians,E!,259288,261581,-0.0088434482
Ice Age: The Meltdown,FREEFORM,386409,378195,0.0212572689
Happy Gilmore,MTV,215003,202334,0.0589247592
Ice Age: The Meltdown,FREEFORM,386409,379612,0.01759017
Say Yes to the Dress,TLC,464749,453240,0.0247639048
8 Mile,VH1,209829,190073,0.0941528578
Happy Gilmore,MTV,215003,221525,-0.0303344604
Ice Age: The Meltdown,FREEFORM,386409,365224,0.0548253276
Happy Gilmore,MTV,215003,225114,-0.0470272508
Keeping Up with the Kardashians,E!,274446,261079,0.048705392
Roseanne,LOGO,54259,52517,0.0321052729
Despicable Me,FREEFORM,483343,494675,-0.0234450483
Roseanne,LOGO,59152,56643,0.0424161482
Black Ink Crew,VH1,180128,172185,0.0440964203
Keeping Up with the Kardashians,E!,303466,307741,-0.0140872454
Roseanne,LOGO,57511,56202,0.0227608631
ATL,BET,279766,286296,-0.0233409349
Wreck-It Ralph,FREEFORM,482404,506707,-0.0503789355
Baby Boy,BET,330883,269317,0.1860657695
Star Wars Rebels,DISNEYXD,105081,106220,-0.0108392573
Keeping Up with the Kardashians,E!,425875,497488,-0.1681549751
Love & Hip Hop Atlanta,VH1,257753,245644,0.0469790846
Baby Boy,BET,330883,335794,-0.0148421043
Four Brothers,MTV,244533,253836,-0.038043945
The Arrangement,E!,537370,480652,0.1055473882
Who Do You Think You Are?,TLC,771483,675195,0.1248089718
Milo Murphy's Law,DISNEYXD,119191,111908,0.0611036068
Baby Boy,BET,330883,319556,0.0342326442
Baby Boy,BET,330883,341001,-0.0305787846
Walk the Prank,DISNEYXD,118057,114023,0.0341699349
The Real Housewives of Atlanta,BRAVO,272122,291583,-0.0715157172
Who Do You Think You Are?,TLC,245855,216616,0.1189278233
The Real Housewives of Atlanta,BRAVO,138258,137759,0.0036091944
George Lopez,NICK,310602,310254,0.0011204049
Star vs. The Forces of Evil,DISNEYXD,97325,97157,0.0017261752
Keeping Up with the Kardashians,E!,105973,101618,0.0410953733
Sam & Cat,TEENNCK,79357,78915,0.005569767
