TMNT,NICK,564225,576152,-0.0211387301
Nick Cannon Presents: Wild 'N Out,MTV,209110,204820,0.0205155181
TMNT,NICK,564225,523518,0.07214675
Nick Cannon Presents: Wild 'N Out,MTV,231251,235081,-0.0165620905
Friends,NICK,537131,539765,-0.0049038317
Friends,NICK,427319,442880,-0.036415418
Nick Cannon Presents: Wild 'N Out,MTV,137806,133543,0.0309347924
PAW Patrol,NICK,570232,570138,0.0001648452
PAW Patrol,NICK,506372,502494,0.0076584013
Fresh Prince of Bel-Air,VH1,75345,75768,-0.0056141748
Shimmer and Shine,NICK,398829,392251,0.0164932841
Martha & Snoop's Potluck Dinner Party,VH1,74579,74026,0.007414956
Nella the Princess Knight,NICK,326005,337964,-0.0366834864
The Notebook,VH1,158519,167410,-0.0560879138
Catfish: The TV Show,MTV,165677,163443,0.0134840684
Masters of Illusion,CW,732856,689182,0.059594245
Masters of Illusion,CW,663949,642736,0.0319497431
E.T.: The Extra-Terrestrial,NICK,596915,591552,0.0089845288
E.T.: The Extra-Terrestrial,NICK,596915,546146,0.0850523106
Penn & Teller: Fool Us,CW,686591,646037,0.059065732
America's Got Talent,NBC,3497556,3262915,0.0670871317
What Would You Do?,ABC,2816972,2661674,0.0551294085
Ridiculousness,MTV,201765,208613,-0.0339404753
Beat Shazam,FOX,1141269,1241676,-0.087978382
Friends,NICK,555271,537093,0.032737168
Friends,NICK,555271,569979,-0.0264879671
Friends with Benefits,VH1,281157,280807,0.0012448561
The Tonight Show Starring Jimmy Fallon,NBC,3159956,2475703,0.2165387746
Fresh Prince of Bel-Air,NICK,436897,434858,0.0046670039
Fresh Prince of Bel-Air,VH1,156916,161006,-0.026064901
Fresh Prince of Bel-Air,VH1,151167,148959,0.0146063625
Catfish: The TV Show,MTV,189751,186343,0.0179603797
Big Momma's House,VH1,206030,244713,-0.1877542106
Catfish: The TV Show,MTV,183573,179205,0.0237943488
Catfish: The TV Show,MTV,183573,179918,0.0199103354
Full House,NICK,648177,641438,0.0103968515
Full House,NICK,601073,603314,-0.0037283325
10 Things I Hate About You,MTV,190777,183903,0.0360315971
Friends,NICK,610970,600860,0.0165474573
